key,title,authors,venue,year,type,doi,url,ee,title_clean,authors_clean,first_author,title_author_combined
conf/acl/gptmodelsfortextgene269,GPT Models for Text Generation,Grace White | Grace Harris,ACL,2022,Conference Paper,10.5353/735775,https://dblp.org/rec/conf/acl/gptmodelsfortextgene269,https://doi.org/10.8376/345142,GPT Models for Text Generation,Grace White | Grace Harris,Grace White,GPT Models for Text Generation Grace White
conf/recsys/graphneuralnetworksf179,Graph Neural Networks for Social Network Analysis,Wendy Thomas | Uma Davis | A. Jackson,RecSys,2020,Conference Paper,,https://dblp.org/rec/conf/recsys/graphneuralnetworksf179,,Graph Neural Networks for Social Network Analysis,Wendy Thomas | Uma Davis | A. Jackson,Wendy Thomas,Graph Neural Networks for Social Network Analysis Wendy Thomas
conf/recsys/recommendationsystem447,Recommendation Systems with Collaborative Filtering,Victor Williams,RecSys,2022,Conference Paper,10.5906/214724,https://dblp.org/rec/conf/recsys/recommendationsystem447,https://doi.org/10.1639/452085,Recommendation Systems with Collaborative Filtering,Victor Williams,Victor Williams,Recommendation Systems with Collaborative Filtering Victor Williams
conf/internatio/sentimentanalysiswit511,Sentiment Analysis with Deep Learning,H. Gonzalez | Noah White | N. Smith | W. Lee,International Conference on Machine Learning,2021,Conference Paper,10.2373/240785,https://dblp.org/rec/conf/internatio/sentimentanalysiswit511,https://doi.org/10.9068/430503,Sentiment Analysis with Deep Learning,H. Gonzalez | Noah White | N. Smith | W. Lee,H. Gonzalez,Sentiment Analysis with Deep Learning H. Gonzalez
conf/sigir/timeseriesforecastin412,Time Series Forecasting with Deep Learning,Uma Davis,SIGIR,2024,Conference Paper,,https://dblp.org/rec/conf/sigir/timeseriesforecastin412,https://doi.org/10.9151/647073,Time Series Forecasting with Deep Learning,Uma Davis,Uma Davis,Time Series Forecasting with Deep Learning Uma Davis
conf/icml/deeplearningfornatur5,Deep Learning for Natural Language Processing,Uma Thompson,ICML,2024,Conference Paper,10.1046/395721,https://dblp.org/rec/conf/icml/deeplearningfornatur5,https://doi.org/10.8211/521359,Deep Learning for Natural Language Processing,Uma Thompson,Uma Thompson,Deep Learning for Natural Language Processing Uma Thompson
conf/icml/attentionmechanismsi126,Attention Mechanisms in Neural Machine Translation,Noah Williams | Alice Lopez | Alice Jackson | M. Harris,ICML,2022,Conference Paper,,https://dblp.org/rec/conf/icml/attentionmechanismsi126,https://doi.org/10.4410/527001,Attention Mechanisms in Neural Machine Translation,Noah Williams | Alice Lopez | Alice Jackson | M. Harris,Noah Williams,Attention Mechanisms in Neural Machine Translation Noah Williams
conf/icml/transferlearningforc154,Transfer Learning for Computer Vision Tasks - A Survey,Carol White,ICML,2020,Conference Paper,10.2214/509983,https://dblp.org/rec/conf/icml/transferlearningforc154,https://doi.org/10.7290/797978,Transfer Learning for Computer Vision Tasks - A Survey,Carol White,Carol White,Transfer Learning for Computer Vision Tasks - A Survey Carol White
conf/ijcai/recurrentneuralnetwo105,Recurrent Neural Networks for Sequence Modeling,B. Hernandez | David Williams,IJCAI,2022,Conference Paper,10.6044/974305,https://dblp.org/rec/conf/ijcai/recurrentneuralnetwo105,https://doi.org/10.7745/507880,Recurrent Neural Networks for Sequence Modeling,B. Hernandez | David Williams,B. Hernandez,Recurrent Neural Networks for Sequence Modeling B. Hernandez
conf/ieee trans/asurveyofdeeplearnin77,A Survey of Deep Learning Techniques: Methods and Applications,Alice Johnson | Frank Taylor | Grace Garcia,IEEE Transactions on Pattern Analysis and Machine Intelligence,2022,Conference Paper,10.2012/497822,https://dblp.org/rec/conf/ieee trans/asurveyofdeeplearnin77,https://doi.org/10.5138/435211,A Survey of Deep Learning Techniques: Methods and Applications,Alice Johnson | Frank Taylor | Grace Garcia,Alice Johnson,A Survey of Deep Learning Techniques: Methods and Applications Alice Johnson
